bairro,alteracao_mensal,preco_m2,preco_medio
Vila Moraes,+0.27%,R$ 5.245,R$ 472.126
Vila Guedes,+0.94%,R$ 5.243,R$ 515.567
Jardim Ubirajara Zona Sul,-0.51%,R$ 5.241,R$ 357.834
Tremembé,+0.34%,R$ 5.217,R$ 1.169.222
Parque São Domingos,+0.13%,R$ 5.207,R$ 844.207
Vila São Geraldo,-0.18%,R$ 5.206,R$ 595.048
Vila Salete,+0.27%,R$ 5.203,R$ 577.795
Vila do Castelo,+0.01%,R$ 5.188,R$ 465.314
Chácara Nossa Senhora do Bom Conselho,+0.68%,R$ 5.187,R$ 528.317
Vila Guaca,-0.03%,R$ 5.181,R$ 628.818
Cidade Patriarca,-0.02%,R$ 5.175,R$ 481.023
Vila Mendes,+0.45%,R$ 5.175,R$ 324.680
Vila Amália Zona Norte,+0.65%,R$ 5.161,R$ 464.536
Jardim Celeste,+0.18%,R$ 5.158,R$ 334.725
Jardim Ester Yolanda,-0.63%,R$ 5.154,R$ 505.595
Pedreira,-0.46%,R$ 5.153,R$ 479.838
Vila Marari,+0.87%,R$ 5.153,R$ 583.051
Jardim Iracema,0.00%,R$ 5.147,R$ 356.397
Vila Jacuí,-0.32%,R$ 5.145,R$ 488.924
Vila Jaraguá,0.00%,R$ 5.135,R$ 298.909
Jardim Sarah,+0.46%,R$ 5.117,R$ 477.228
Chácara Belenzinho,+0.25%,R$ 5.111,R$ 557.853
Vila Santa Teresa Zona Leste,-0.08%,R$ 5.102,R$ 450.475
Vila Nova Alba,-1.07%,R$ 5.098,R$ 436.099
Jardim Cidade Pirituba,+0.22%,R$ 5.096,R$ 646.831
Vila Celeste,+0.38%,R$ 5.094,R$ 477.368
Vila São Vicente,+1.81%,R$ 5.092,R$ 727.138
Jardim Vergueiro,+0.25%,R$ 5.090,R$ 372.442
Vila Ré,-0.10%,R$ 5.089,R$ 458.077
Vila Bela Vista Zona Norte,-0.40%,R$ 5.081,R$ 355.678
Jardim Vila Formosa,+0.10%,R$ 5.078,R$ 484.894
Chácara Mafalda,-0.35%,R$ 5.075,R$ 747.420
Jardim Jussara,-0.50%,R$ 5.066,R$ 570.511
Sítio Pinheirinho,+0.33%,R$ 5.066,R$ 306.998
Vila Ivone,+0.48%,R$ 5.064,R$ 472.630
Vila Jaguara,-0.22%,R$ 5.059,R$ 629.468
Jardim Virginia Bianca,+0.25%,R$ 5.053,R$ 1.227.987
Vila Tolstoi,-1.65%,R$ 5.052,R$ 448.541
Chácara Cruzeiro do Sul,+0.83%,R$ 5.047,R$ 453.078
Vila Santa Maria,+1.42%,R$ 5.040,R$ 532.400
Vila Nova Mazzei,-0.13%,R$ 5.038,R$ 564.555
Jardim Casablanca,+0.44%,R$ 5.023,R$ 339.229
Vila Califórnia,+0.39%,R$ 5.017,R$ 549.144
Vila Araguaia,-0.28%,R$ 5.013,R$ 351.729
Parque Jabaquara,-0.03%,R$ 4.991,R$ 858.344
Vila Pereira Cerca,+0.69%,R$ 4.975,R$ 549.815
Vila Marieta,+0.10%,R$ 4.968,R$ 489.891
Jardim Modelo,+1.17%,R$ 4.967,R$ 390.866
Jardim Brasil Zona Norte,-0.55%,R$ 4.965,R$ 474.082
Vila Barbosa,-0.24%,R$ 4.964,R$ 507.961
Vila Beatriz,+0.04%,R$ 4.960,R$ 642.920
Parque Munhoz,+0.21%,R$ 4.959,R$ 385.693
